,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
path,23863,24916.431,26183.39963,26188.70124,27190.56545,27893.12558,27653.48846,27560.96434,28441.15706,29439.99085,31398.08694
path.1,23863,24583.78428,24967.79195,25834.71731,25528.88201,25308.68845,24415.63446,24880.0897,26895.07634,28685.58964,31015.34852
path.2,23863,25017.49342,24751.98122,24819.71364,25682.42384,25242.03778,24902.81715,27263.85818,26457.32118,28137.73782,29249.49004
path.3,23863,24658.80665,24326.13562,25218.62659,26719.93257,27112.49336,28810.75174,29706.3828,28527.32995,27748.84325,29915.07266
path.4,23863,25291.0117,25585.41341,24514.36201,25590.04541,26775.44504,27226.93816,28252.6376,28296.82272,28360.97884,30383.79329
path.5,23863,24375.63051,23543.67506,23454.97372,23759.9893,25160.30442,26256.10988,27093.51108,28495.29296,31747.78204,32514.52498
path.6,23863,24127.06422,25466.64645,26045.45745,27696.62063,29200.49205,28815.47772,30218.72522,31425.21488,31692.87533,31419.86615
path.7,23863,25101.89178,26177.09835,26681.05052,27376.47461,27591.91164,28318.67568,27858.80599,28276.50166,28443.1304,27353.6002
path.8,23863,25474.95054,27756.27682,28742.35662,29379.82974,28121.91592,30003.32613,30975.04884,32225.82664,34429.35404,35297.78398
path.9,23863,23549.89056,24839.7205,26692.59972,27909.7176,29573.70522,31708.76086,33226.53041,35456.27036,38265.46657,39006.88216
path.10,23863,22644.4845,23553.90335,23475.41144,24205.95703,24788.33992,26910.1076,29142.70877,29694.21947,33004.33431,34054.80162
path.11,23863,23551.31825,24220.23828,25379.84181,26611.4881,27522.97737,27996.90298,29248.62824,29077.05221,31324.50457,32085.3852
path.12,23863,24134.82186,25086.52895,26928.9162,27105.20306,28355.16005,28580.44192,29489.61722,29589.17131,28964.67555,30880.27614
path.13,23863,23744.03302,25119.11181,26434.43314,26193.74774,27306.51682,28908.70587,31267.8236,31384.8829,32971.96332,34870.02341
path.14,23863,24215.46645,23954.27463,24927.87623,24949.31444,25653.46345,27084.57499,28061.10516,28247.42771,28704.80016,30217.20282
path.15,23863,25588.56941,26907.64724,26868.88328,26851.51213,27807.432,28029.2955,28167.17894,28096.21342,27832.98878,29149.68612
path.16,23863,24977.25944,25798.49703,25137.72628,25125.49855,26327.39413,26592.23872,27351.1783,26667.37868,27636.98155,29618.38544
path.17,23863,24033.19744,25451.50579,26310.06911,25232.25514,26589.19287,27462.39154,27538.05242,29184.75168,27960.7675,29315.57222
path.18,23863,22873.73482,23729.028,23695.40168,25096.713,25243.04438,25783.19624,25945.78127,25664.22684,28341.89326,30163.40897
path.19,23863,23293.57548,23503.21578,23652.18262,25597.90386,25044.44904,25548.32619,25903.83468,28537.90435,28292.80658,29212.71099
path.20,23863,25847.94719,26908.90267,27811.36596,26978.2261,27950.45363,28553.2005,28702.70073,29212.9613,29130.70438,29995.67845
path.21,23863,24963.38225,25369.2332,25958.60351,27266.48154,28015.34375,27329.7768,28929.29806,28838.00063,29918.67322,30569.93578
path.22,23863,24616.63978,26092.67412,26999.17843,27376.56533,29692.87159,31928.95692,32126.02233,33074.71286,34540.41107,36033.42131
path.23,23863,22781.07509,23658.03715,23463.49857,23682.51914,25017.83764,25603.08903,27679.68105,28115.69512,30097.67256,30914.61996
path.24,23863,26426.10235,26786.40801,26952.8576,26872.96274,28831.58244,29363.32912,30792.32713,33674.03813,33163.76854,34232.89534
path.25,23863,24551.77102,25410.69146,27135.31008,26961.62494,27344.8448,28051.63981,28723.28074,31212.09589,31210.10895,32306.42334
path.26,23863,25985.41774,26968.00672,27274.90107,28156.2733,29004.65449,30133.30823,31571.00163,32379.85909,34990.376,35216.99759
path.27,23863,25061.53739,25955.69466,25409.87316,27354.40091,27510.87034,28146.985,26682.77025,26559.16645,26460.50923,26832.552
path.28,23863,23882.69008,25584.49654,26712.15718,25515.98533,26397.54405,27386.51891,28358.02238,30048.50092,29888.56623,31281.96144
