,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
path,28140,29483.80175,31391.68121,30945.513,33248.70968,34080.41533,36893.55617,36373.68019,36712.94433,36266.67476,37165.76144
path.1,28140,29565.91022,31818.66413,33185.55259,32395.07821,33477.97499,33229.33558,33650.75584,33887.98858,34248.75792,34682.8906
path.2,28140,28616.18422,28128.21702,28760.00724,30446.83068,31130.89595,32459.39835,34692.72388,35323.00442,34282.20184,34841.56775
path.3,28140,29488.33533,31373.58282,30710.48561,31319.94945,31399.7163,32896.33833,34865.46246,35414.16635,35014.88538,37027.0552
path.4,28140,29096.35215,31074.00685,31921.58378,33371.19253,33546.50832,35873.44945,36355.29598,35859.86067,36693.41157,36474.69562
path.5,28140,26705.608,27320.57635,26190.08616,27865.28142,28275.22016,28784.2236,29263.56338,29866.58464,30511.88987,32737.37366
path.6,28140,26667.3418,28028.33873,28930.41218,28411.43502,29523.24121,29934.20539,30104.78137,30401.07808,33156.93669,34015.69254
path.7,28140,29998.20297,31392.34452,31383.33848,31897.42726,32405.65267,35750.51985,37287.23833,39548.444,39552.25866,41699.42158
path.8,28140,29153.30325,28449.16641,29816.35266,31197.54868,30688.22976,31533.19656,31287.8265,31806.42938,31277.91258,30989.25407
path.9,28140,27000.72496,27237.12386,27969.43981,28951.40977,29926.56253,30416.14231,30571.57603,31579.10981,32985.09835,34640.90239
path.10,28140,29678.55609,30076.35317,30035.53641,31114.08554,32031.44977,33948.35424,34707.67239,33883.86382,34508.37095,34983.92999
path.11,28140,28649.90459,28916.73822,29671.83117,29764.76918,31820.91508,33863.48514,32344.00206,33981.45619,35350.63853,36197.52718
path.12,28140,29462.09806,31820.8945,30537.68728,30764.70119,31556.39501,31173.12457,31892.24109,32531.16311,30696.6444,28946.33166
path.13,28140,30446.3845,29800.68309,30861.12628,30221.35389,30488.15099,30751.89704,31115.41093,33284.40179,33050.19877,33824.96359
path.14,28140,28623.33589,28560.74879,28673.51996,27073.86257,28041.77246,29295.91456,30047.53945,29381.04958,29627.67575,31894.52223
path.15,28140,29925.58324,30812.38127,31506.65791,32046.82525,29929.49282,31386.08522,31130.54936,32870.1995,33398.59009,34916.86932
path.16,28140,29494.94508,28974.15413,29962.30259,28133.49404,27554.49968,28204.79605,27207.93842,28761.0079,29937.46208,30710.25509
path.17,28140,29791.85603,30989.36167,31750.97064,33221.27417,36765.07743,38428.31304,37250.30793,38060.20356,36665.58397,37420.0525
path.18,28140,29685.75645,28672.44778,28846.41185,28765.21137,30554.11489,32542.91433,33071.06745,34229.94443,35386.84012,36076.08896
path.19,28140,28425.11689,27558.93198,28771.22969,29609.37282,30662.53708,32164.17409,34497.26197,35510.51375,36308.20277,36258.32804
path.20,28140,30026.01271,28786.73551,29422.64059,30110.56166,30544.05691,31539.38304,31392.48467,32753.61852,32180.61064,32855.59807
path.21,28140,29267.81136,30250.57521,29230.20566,30757.99924,30030.80138,30786.95825,32162.06214,31401.7809,33516.91408,36313.194
path.22,28140,29017.5635,30988.83927,32904.77225,34176.20096,35367.82813,35351.17647,35385.31402,37317.84045,37802.39204,37783.47632
